Plot,Xmin,Xmax,Ymin,Ymax
1,401477.719,401533.717,3283888.976,3283944.83
2,401474.151,401529.992,3284046.235,3284101.974
3,401702.156,401758.114,3284197.525,3284254.483
4,401653.299,401709.312,3284036.24,3284091.345
5,402001.245,402057.261,3284748.351,3284802.985
6,401959.003,402013.56,3284903.313,3284957.301
7,401739.938,401794.582,3285454.431,3285510.371
8,401877.504,401931.654,3285257.738,3285311.446
9,401767.654,401822.272,3285611.916,3285666.458
10,403368.03,403424.603,3285672.766,3285727.948
11,403989.369,404043.38,3285654.302,3285708.285
12,404273.186,404328.049,3285689.688,3285745.177
13,405206.96,405262.172,3285296.207,3285351.623
14,405430.17,405484.845,3285258.393,3285313.932
15,405602.453,405657.998,3285233.318,3285288.238
16,403707.905,403762.367,3286818.915,3286873.686
17,403884.122,403939.122,3286801.061,3286855.482
