"","X","Plot","Patch","year","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","day","patcharea","nnd","bufferarea","bufferfararea","ifm","tbufferfararea","tbufferarea","month"
"6",6,10,1,2015,2015-09-24,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,9
"7",7,10,1,2015,2015-07-01,0,1,2,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,7
"8",8,10,1,2015,2015-05-20,12,2,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,11,"2015-05-20",20,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,5
"9",9,10,1,2015,2015-09-10,0,0,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,9
"10",10,10,1,2015,2015-08-12,1,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,8
"11",11,10,1,2015,2015-05-07,9,3,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,5
"12",12,10,1,2015,2015-03-25,0,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,3
"13",13,10,1,2015,2015-06-03,1,6,5,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,6
"14",14,10,1,2015,2015-04-22,18,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,4
"15",15,10,1,2015,2015-08-28,2,1,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,8
"16",16,10,1,2015,2015-03-10,0,0,3,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,3
"17",17,10,1,2015,2015-07-17,4,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,7
"18",18,10,1,2015,2015-10-12,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,10
"19",19,10,1,2015,2015-06-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,6
"20",20,10,1,2015,2015-07-31,4,1,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,7
"21",21,10,1,2015,2015-04-08,16,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,4
"22",22,10,1,2015,2015-10-22,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,10
"28",28,10,13,2015,2015-06-03,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,6
"29",29,10,13,2015,2015-10-22,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,10
"30",30,10,13,2015,2015-04-08,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,8,"2015-04-08",8,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,4
"31",31,10,13,2015,2015-05-07,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,5
"32",32,10,13,2015,2015-08-28,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,8
"33",33,10,13,2015,2015-03-10,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,3
"34",34,10,13,2015,2015-09-10,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,19,"2015-09-10",10,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,9
"35",35,10,13,2015,2015-07-17,1,4,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,7
"36",36,10,13,2015,2015-09-24,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,20,"2015-09-24",24,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,9
"37",37,10,13,2015,2015-07-31,0,4,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,16,"2015-07-31",31,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,7
