"","Plot","Patch","year","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","day","patcharea","nnd","bufferarea","bufferfararea","ifm","tbufferfararea","tbufferarea"
"2383","13",1,"2015","7/22/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,15,2015-07-22,"22",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2384","13",1,"2015","6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"24",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2385","13",1,"2015","10/1/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,20,2015-10-01,"01",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2386","13",1,"2015","5/13/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,10,2015-05-13,"13",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2387","13",1,"2015","4/29/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"29",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2388","13",1,"2015","9/3/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,18,2015-09-03,"03",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2389","13",1,"2015","3/17/2015",0,0,1,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"17",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2390","13",1,"2015","10/20/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"20",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2391","13",1,"2015","6/10/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"10",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2392","13",1,"2015","8/7/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"07",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2393","13",1,"2015","5/27/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,11,2015-05-27,"27",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2394","13",1,"2015","9/21/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"21",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2395","13",1,"2015","7/8/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"08",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2396","13",1,"2015","4/15/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,8,2015-04-15,"15",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2397","13",1,"2015","4/1/2015",0,0,0,0,0,1,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,7,2015-04-01,"01",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2398","13",1,"2015","10/29/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,22,2015-10-29,"29",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2399","13",1,"2015","8/18/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"18",0.171530959,1.09601916044931,2.028290759,2.028290759,3.01400599862121,2.199821718,2.199821718
"2405","13",10,"2015","4/1/2015",0,0,1,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,7,2015-04-01,"01",0.012566371,1.38564208960315,4.100406733,3.297180031,3.71029008508762,3.309746402,4.112973104
