"","Plot","Patch","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","year","day","patcharea","nnd","bufferarea","ifm","tbufferarea"
"5387","13",1,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5388","13",1,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5389","13",1,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5390","13",1,"6/24/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,13,2015-06-24,"2015","24",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5391","13",1,"3/17/2015",0,0,1,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"2015","17",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5392","13",1,"3/17/2015",0,0,1,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,6,2015-03-17,"2015","17",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5395","13",1,"8/7/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"2015","07",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5396","13",1,"8/7/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,16,2015-08-07,"2015","07",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5397","13",1,"4/29/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"2015","29",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5398","13",1,"4/29/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,9,2015-04-29,"2015","29",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5399","13",1,"8/18/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"2015","18",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5400","13",1,"8/18/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,17,2015-08-18,"2015","18",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5401","13",1,"5/27/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,11,2015-05-27,"2015","27",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5402","13",1,"5/27/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,11,2015-05-27,"2015","27",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5403","13",1,"6/10/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"2015","10",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5404","13",1,"6/10/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,12,2015-06-10,"2015","10",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5411","13",1,"10/20/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"2015","20",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5412","13",1,"10/20/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,21,2015-10-20,"2015","20",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5413","13",1,"9/3/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,18,2015-09-03,"2015","03",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5414","13",1,"9/3/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,18,2015-09-03,"2015","03",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5415","13",1,"4/15/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,8,2015-04-15,"2015","15",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5416","13",1,"4/15/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,8,2015-04-15,"2015","15",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5419","13",1,"7/8/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"2015","08",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5420","13",1,"7/8/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,14,2015-07-08,"2015","08",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5421","13",1,"4/1/2015",0,0,0,0,0,1,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,7,2015-04-01,"2015","01",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5422","13",1,"4/1/2015",0,0,0,0,0,1,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,7,2015-04-01,"2015","01",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5423","13",1,"7/22/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,15,2015-07-22,"2015","22",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5424","13",1,"7/22/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,15,2015-07-22,"2015","22",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5425","13",1,"10/29/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,22,2015-10-29,"2015","29",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5426","13",1,"10/29/2015",0,0,0,0,0,0,0,0,1,1,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,22,2015-10-29,"2015","29",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5427","13",1,"9/21/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"2015","21",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5428","13",1,"9/21/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,19,2015-09-21,"2015","21",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5431","13",1,"5/13/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,10,2015-05-13,"2015","13",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5432","13",1,"5/13/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,10,2015-05-13,"2015","13",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5433","13",1,"10/1/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,20,2015-10-01,"2015","01",0.171530959,1.09601916044931,2.028290759,3.01400599862121,2.199821718
"5434","13",1,"10/1/2015",0,0,0,0,0,0,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,20,2015-10-01,"2015","01",0.171530959,1.09601916044931,2.026641423,4.19067070764969,2.198172382
"5437","13",10,"5/13/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,10,2015-05-13,"2015","13",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5438","13",10,"5/13/2015",0,0,0,0,0,0,0,0,1,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,10,2015-05-13,"2015","13",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
"5439","13",10,"7/22/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,15,2015-07-22,"2015","22",0.542867211,0.998349137409767,7.840237167,5.50039515955197,8.383104378
"5440","13",10,"7/22/2015",0,0,0,0,0,1,0,0,0,0,"agg",120,204,84,0.411764706,188,47,1.25,49.57678632,30.94903955,0.624264739,15,2015-07-22,"2015","22",0.542867211,0.998349137409767,14.06546009,10.0979480950163,14.608327301
