"","Plot","Patch","X","year","Survey.Date","Cheli.1st.3rd","Cheli.4th.5th","Cheli.adults","Narnia.nymphs","Narnia.adults","Cochineal","Cactoblastis","Melateria","Ants","Spiders","TrtType","TrtHabitat2015","Habitat2014","Habitatlost","PropLost","Habitat2014_start","Nbugs14","TreeScore","vegheight.mean","vegheight.sd","vegheight.CV","SurveyNumber","date","day","patcharea","nnd","bufferarea","bufferfararea","ifm","tbufferfararea","tbufferarea","month","coordInc"
"3",10,1,16,2015,2015-03-10,0,0,3,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,6,"2015-03-10",10,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,3,0
"4",10,1,3,2014,2014-07-14,2,1,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,2,"2014-07-14",14,0.196349541,4.42607828658798,2.536678989,2.536678989,4.85231173073329,2.73302853,2.73302853,7,0
"5",10,1,4,2014,2014-10-06,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,5,"2014-10-06",6,0.196349541,4.42607828658798,2.536678989,2.536678989,4.85231173073329,2.73302853,2.73302853,10,0
"6",10,1,14,2015,2015-04-22,18,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,9,"2015-04-22",22,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,4,0
"7",10,1,17,2015,2015-07-17,4,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,7,0
"8",10,1,2,2014,2014-09-08,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,4,"2014-09-08",8,0.196349541,4.42607828658798,2.536678989,2.536678989,4.85231173073329,2.73302853,2.73302853,9,0
"9",10,1,15,2015,2015-08-28,2,1,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,18,"2015-08-28",28,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,8,0
"10",10,1,19,2015,2015-06-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,6,0
"11",10,1,22,2015,2015-10-22,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,10,0
"12",10,1,18,2015,2015-10-12,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,10,0
"14",10,1,13,2015,2015-06-03,1,6,5,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,6,0
"15",10,1,10,2015,2015-08-12,1,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.196349541,4.42607828658798,2.536678989,2.535500892,4.85231173073329,2.731850433,2.73302853,8,0
"31",10,13,27,2014,2014-10-06,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,5,"2014-10-06",6,0.27371126,1.9371393858293,2.905030727,2.905030727,3.39386487142977,3.178741987,3.178741987,10,0
"32",10,13,39,2015,2015-06-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,13,"2015-06-17",17,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,6,0
"33",10,13,41,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,10,0
"34",10,13,42,2015,2015-07-01,0,0,0,0,0,0,0,0,0,1,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,14,"2015-07-01",1,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,7,0
"36",10,13,24,2014,2014-08-11,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,3,"2014-08-11",11,0.27371126,1.9371393858293,2.905030727,2.905030727,3.39386487142977,3.178741987,3.178741987,8,0
"37",10,13,25,2014,2014-09-08,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,4,"2014-09-08",8,0.27371126,1.9371393858293,2.905030727,2.905030727,3.39386487142977,3.178741987,3.178741987,9,0
"38",10,13,38,2015,2015-08-12,0,0,1,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,17,"2015-08-12",12,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,8,0
"39",10,13,26,2014,2014-06-16,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,1,"2014-06-16",16,0.27371126,1.9371393858293,2.905030727,2.905030727,3.39386487142977,3.178741987,3.178741987,6,0
"42",10,13,31,2015,2015-05-07,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.673871624,1.99362408661338,2.498351558,2.498351558,3.29871011019693,3.172223182,3.172223182,5,0
"68",10,24,70,2014,2014-06-16,0,0,4,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,1,"2014-06-16",16,0.347145988,1.9371393858293,3.233955478,3.233955478,3.64694132080708,3.581101466,3.581101466,6,0
"74",10,24,74,2015,2015-03-25,0,0,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,7,"2015-03-25",25,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,3,0
"75",10,24,86,2015,2015-05-07,55,12,1,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,10,"2015-05-07",7,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,5,0
"76",10,24,82,2015,2015-10-12,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,21,"2015-10-12",12,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,10,0
"77",10,24,75,2015,2015-06-03,0,2,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,12,"2015-06-03",3,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,6,0
"78",10,24,81,2015,2015-07-17,0,0,0,0,0,0,0,0,0,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,15,"2015-07-17",17,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,7,0
"80",10,24,72,2015,2015-10-22,0,0,0,0,0,0,0,0,1,0,"cont",87,87,0,0,88,189,3,45.82605655,29.0043389,0.632922426,22,"2015-10-22",22,0.092284284,8.20423116418857,0.766548607,0.766548607,2.36402419282214,0.858832891,0.858832891,10,0
